
('brown', 16)
 
('boy', 16)
 
('“Yes”', 16)
 
('Doctor', 16)
 
('England', 16)
 
('shoulders', 16)
 
('impression', 16)
 
('appearance', 16)
 
('trust', 16)
 
('confess', 16)
 
('surprise', 16)
 
('sitting', 16)
 
('high', 16)
 
('secret', 16)
 
('serious', 16)
 
('news', 16)
 
('road', 16)
 
('child', 16)
 
('maid', 16)
 
('Of', 16)
 
('dropped', 16)
 
('whispered', 16)
 
('Turner', 16)
 
('hours', 16)
 
('entirely', 16)
 
('centre', 16)
 
('determined', 16)
 
('making', 16)
 
('nor', 16)
 
('key', 16)
 
('“Now', 16)
 
('sir”', 16)
 
('events', 16)
 
('advertisement', 16)
 
('shook', 16)
 
('City', 16)
 
('bright', 16)
 
('opinion', 16)
 
('smiling', 16)
 
('sudden', 16)
 
('dead', 16)
 
('Oh', 16)
 
('God', 16)
 
('cleared', 16)
 
('K', 16)
 
('finally', 15)
 
('armchair', 15)
 
('caused', 15)
 
('hall', 15)
 
('tonight', 15)
 
('examined', 15)
 
('Let', 15)
 
('comes', 15)
 
('sharp', 15)
 
('Our', 15)
 
('Majesty', 15)
 
('pay', 15)
 
('photograph', 15)
 
('station', 15)
 
('garden', 15)
 
('sittingroom', 15)
 
('view', 15)
 
('deal', 15)
 
('object', 15)
 
('details', 15)
 
('wait', 15)
 
('arrived', 15)
 
('paid', 15)
 
('won’t', 15)
 
('mean', 15)
 
('taking', 15)
 
('number', 15)
 
('waited', 15)
 
('care', 15)
 
('“Do', 15)
 
('turning', 15)
 
('Wilson', 15)
 
('Square', 15)
 
('live', 15)
 
('says', 15)
 
('foot', 15)
 
('didn’t', 15)
 
('wooden', 15)
 
('them”', 15)
 
('“Thank', 15)
 
('third', 15)
 
('sit', 15)
 
('Windibank', 15)
 
('Hatherley', 15)
 
('evidence', 15)
 
('Openshaw', 15)
 
('Hunter', 15)
 
('copy', 14)
 
('Boscombe', 14)
 
('Irene', 14)
 
('official', 14)
 
('pass', 14)
 
('bell', 14)
 
('walk', 14)
 
('“Quite', 14)
 
('because', 14)
 
('lying', 14)
 
